family,name,published,planned,target,percent
01-gof,Design Patterns (GoF),23,0,23,100.0
02-code-smells,Code Smells,28,0,28,100.0
03-refactoring,Refactoring Techniques,40,26,66,60.6
04-principles-and-laws,Principles and Laws,41,0,41,100.0
05-architectural,Architectural Patterns,30,0,30,100.0
06-enterprise-application-architecture,Enterprise Application Architecture,48,0,48,100.0
07-integration,Enterprise Integration,54,0,54,100.0
08-cloud-distributed,Cloud and Distributed,42,0,42,100.0
09-concurrency,Concurrency and Parallelism,40,0,40,100.0
10-microservices,Microservices,49,0,49,100.0
11-domain-driven-design,Domain-Driven Design,35,0,35,100.0
12-data-storage,Data and Storage,41,0,41,100.0
13-frontend-ui,Frontend and UI,0,34,34,0.0
14-testing,Testing,30,0,30,100.0
15-security,Security,1,37,38,2.6
16-functional,Functional Programming,0,40,40,0.0
17-ai-agentic,AI and Agentic,55,0,55,100.0
18-anti-patterns,Anti-Patterns,41,11,52,78.8
19-api-design,API and Interface Design,0,10,10,0.0
20-release-deployment,Release and Deployment,0,10,10,0.0
21-sre-operations,SRE and Operations,0,12,12,0.0
22-observability,Observability,0,8,8,0.0
23-workflow-orchestration,Workflow and Orchestration,0,6,6,0.0
24-stream-processing,Stream Processing,0,8,8,0.0
25-mlops,MLOps,0,9,9,0.0
26-interaction-hci,Interaction and HCI,0,10,10,0.0
27-mobile-architecture,Mobile Architecture,0,12,12,0.0
28-embedded-hardware,Embedded and Hardware-Software,0,14,14,0.0
29-realtime-simulation,Real-Time Simulation,0,9,9,0.0
